Geo Point,Geo Shape,Asset Number,Site Name,Site Purpose
"53.6333363, -0.2149242","{""coordinates"": [[-0.2149242, 53.6333363]], ""type"": ""MultiPoint""}",SITE-00272423,HUMBER ROAD 16,PRIMARY SITE
"53.7549495, -0.1908545","{""coordinates"": [[-0.1908545, 53.7549495]], ""type"": ""MultiPoint""}",SITE-00270527,PRESTON WEGHILL 8494,EHV PM SITE
"53.7406747, -0.7969616","{""coordinates"": [[-0.7969616, 53.7406747]], ""type"": ""MultiPoint""}",SITE-00272440,SIXPENNY WOOD WINDFARM 52596,PRIMARY SITE
"53.8406137, -0.5991126","{""coordinates"": [[-0.5991126, 53.8406137]], ""type"": ""MultiPoint""}",SITE-00272442,SOBER HILL 51738,PRIMARY SITE
"53.7087244, -1.9230358","{""coordinates"": [[-1.9230358, 53.7087244]], ""type"": ""MultiPoint""}",SITE-00266798,SOWERBY BRIDGE 21,BULK SUPPLY POINT
"53.838588, -1.593242","{""coordinates"": [[-1.593242, 53.838588]], ""type"": ""MultiPoint""}",SITE-00266959,WEST PARK 995,PRIMARY SITE
"53.871865, -1.3276224","{""coordinates"": [[-1.3276224, 53.871865]], ""type"": ""MultiPoint""}",SITE-00266661,BRAMHAM 3736,BULK SUPPLY POINT
"53.7329529, -1.5591333","{""coordinates"": [[-1.5591333, 53.7329529]], ""type"": ""MultiPoint""}",SITE-00272646,TINGLEY NO 2 4781,EHV PM SITE
"53.6785134, -1.3769574","{""coordinates"": [[-1.3769574, 53.6785134]], ""type"": ""MultiPoint""}",SITE-00266639,COMMONSIDE LANE 6061,PRIMARY SITE
"53.5892114, -1.6220622","{""coordinates"": [[-1.6220622, 53.5892114]], ""type"": ""MultiPoint""}",SITE-00266641,SCISSETT 21,PRIMARY SITE
"53.5603395, -0.6375876","{""coordinates"": [[-0.6375876, 53.5603395]], ""type"": ""MultiPoint""}",SITE-00266650,BOTTESFORD 27,PRIMARY SITE
"53.7985825, -1.710124","{""coordinates"": [[-1.710124, 53.7985825]], ""type"": ""MultiPoint""}",SITE-00266917,THORNBURY 22,PRIMARY SITE
"53.871402, -1.3246337","{""coordinates"": [[-1.3246337, 53.871402]], ""type"": ""MultiPoint""}",SITE-00266919,WARREN LANE 1010,PRIMARY SITE
"53.7804586, -1.786936","{""coordinates"": [[-1.786936, 53.7804586]], ""type"": ""MultiPoint""}",SITE-00266701,SAINT STREET PRIM 72,PRIMARY SITE
"53.7219769, -1.7058014","{""coordinates"": [[-1.7058014, 53.7219769]], ""type"": ""MultiPoint""}",SITE-00266265,SPENBOROUGH (NEW) 22,PRIMARY SITE
"53.8506732, -0.4244292","{""coordinates"": [[-0.4244292, 53.8506732]], ""type"": ""MultiPoint""}",SITE-00266741,NORWOOD 5669,PRIMARY SITE
"53.4029408, -1.4066962","{""coordinates"": [[-1.4066962, 53.4029408]], ""type"": ""MultiPoint""}",SITE-00267009,SHEPCOTE TINSLEY 48260,PRIMARY SITE
"53.686412, -1.3848434","{""coordinates"": [[-1.3848434, 53.686412]], ""type"": ""MultiPoint""}",SITE-00268147,FEATHERSTONE 6041,BULK SUPPLY POINT
"53.6547796, -0.2474427","{""coordinates"": [[-0.2474427, 53.6547796]], ""type"": ""MultiPoint""}",SITE-00266648,CLOUGH LANE 62,PRIMARY SITE
"53.537766, -1.0412187","{""coordinates"": [[-1.0412187, 53.537766]], ""type"": ""MultiPoint""}",SITE-00268234,WEST MOOR PARK 45634,PRIMARY SITE
"54.9734413, -1.6221278","{""coordinates"": [[-1.6221278, 54.9734413]], ""type"": ""MultiPoint""}",SITE-00229080,CORPORATION STREET,PRIMARY SITE
"53.5296721, -1.2892101","{""coordinates"": [[-1.2892101, 53.5296721]], ""type"": ""MultiPoint""}",SITE-00266795,BARNBURGH 22492,PRIMARY SITE
"53.7966473, -1.7190821","{""coordinates"": [[-1.7190821, 53.7966473]], ""type"": ""MultiPoint""}",SITE-00273292,KILLINGHALL ROAD 944,PRIMARY SITE
"53.402246, -1.2540488","{""coordinates"": [[-1.2540488, 53.402246]], ""type"": ""MultiPoint""}",SITE-00271710,NEW ORCHARD LANE 5189,PRIMARY SITE
"53.3002895, -1.4646256","{""coordinates"": [[-1.4646256, 53.3002895]], ""type"": ""MultiPoint""}",SITE-00266551,CALLYWHITE LANE 49549,PRIMARY SITE
"53.3987317, -1.4171802","{""coordinates"": [[-1.4171802, 53.3987317]], ""type"": ""MultiPoint""}",SITE-00271717,TINSLEY PARK ROAD 619,PRIMARY SITE
"53.8705832, -1.804636","{""coordinates"": [[-1.804636, 53.8705832]], ""type"": ""MultiPoint""}",SITE-00271820,GRAINCLIFFE RESERVOIR 5171,EHV PM SITE
"53.9295675, -1.9067828","{""coordinates"": [[-1.9067828, 53.9295675]], ""type"": ""MultiPoint""}",SITE-00269949,BROWN BANK LANE 4853,EHV PM SITE
"53.6299975, -0.2895452","{""coordinates"": [[-0.2895452, 53.6299975]], ""type"": ""MultiPoint""}",SITE-00277124,WEST MIDDLEMERE ROAD 42012,EHV PM SITE
"53.5972898, -0.7498528","{""coordinates"": [[-0.7498528, 53.5972898]], ""type"": ""MultiPoint""}",SITE-00290869,KEADBY GSP 1,GRID SUPPLY POINT
"53.7450033, -0.5890543","{""coordinates"": [[-0.5890543, 53.7450033]], ""type"": ""MultiPoint""}",SITE-00268601,BROUGH CAVE ROAD 8010,EHV PM SITE
"53.3904052, -0.1240766","{""coordinates"": [[-0.1240766, 53.3904052]], ""type"": ""MultiPoint""}",SITE-00274363,KELSTERN GRANGE 1895,EHV PM SITE
"53.8181323, -0.3951398","{""coordinates"": [[-0.3951398, 53.8181323]], ""type"": ""MultiPoint""}",SITE-00271102,ROSS FARM LSI 33KV 6479,EHV PM SITE
"53.7260459, -1.8577293","{""coordinates"": [[-1.8577293, 53.7260459]], ""type"": ""MultiPoint""}",SITE-00266080,HALIFAX 33/11KV 9,PRIMARY SITE
"53.6117495, -0.6724189","{""coordinates"": [[-0.6724189, 53.6117495]], ""type"": ""MultiPoint""}",SITE-00272382,ATKINSONS WARREN 25601,EHV PM SITE
"53.4163431, -1.3669832","{""coordinates"": [[-1.3669832, 53.4163431]], ""type"": ""MultiPoint""}",SITE-00266180,FULLERTON ROAD 33/11KV 5284,PRIMARY SITE
"53.8402364, -1.9352553","{""coordinates"": [[-1.9352553, 53.8402364]], ""type"": ""MultiPoint""}",SITE-00274383,CROSSROADS 1940,EHV PM SITE
"53.7199162, -1.2768018","{""coordinates"": [[-1.2768018, 53.7199162]], ""type"": ""MultiPoint""}",SITE-00266659,KIRKHAW LANE 6042,BULK SUPPLY POINT
"53.9085154, -0.7636843","{""coordinates"": [[-0.7636843, 53.9085154]], ""type"": ""MultiPoint""}",SITE-00273695,HAYTON/KIRKBURN 8684,EHV PM SITE
"53.7551346, -0.3828319","{""coordinates"": [[-0.3828319, 53.7551346]], ""type"": ""MultiPoint""}",SITE-00272412,NATIONAL AVENUE 6007,PRIMARY SITE
"53.3907039, -0.7742671","{""coordinates"": [[-0.7742671, 53.3907039]], ""type"": ""MultiPoint""}",SITE-00266879,LEA ROAD 43,PRIMARY SITE
"53.7762032, -1.5833797","{""coordinates"": [[-1.5833797, 53.7762032]], ""type"": ""MultiPoint""}",SITE-00267002,BEESTON ROYDS T6/T7 33/11 46146,PRIMARY SITE
"53.7743709, -1.9373362","{""coordinates"": [[-1.9373362, 53.7743709]], ""type"": ""MultiPoint""}",SITE-00318428,OVENDEN MOOR WIND FARM 56283,PRIMARY SITE
"53.7306043, -0.3746789","{""coordinates"": [[-0.3746789, 53.7306043]], ""type"": ""MultiPoint""}",SITE-00266684,WEST DOCK 3638,PRIMARY SITE
"53.8407878, -1.7555713","{""coordinates"": [[-1.7555713, 53.8407878]], ""type"": ""MultiPoint""}",SITE-00269425,WINDHILL LSI 1589,EHV PM SITE
"53.8055469, -1.5446223","{""coordinates"": [[-1.5446223, 53.8055469]], ""type"": ""MultiPoint""}",SITE-00266637,CARLTON HILL 2465,PRIMARY SITE
"53.3724408, -1.5332729","{""coordinates"": [[-1.5332729, 53.3724408]], ""type"": ""MultiPoint""}",SITE-00266957,SNAITHING PARK ROAD 3488,PRIMARY SITE
"53.8036722, -1.2286304","{""coordinates"": [[-1.2286304, 53.8036722]], ""type"": ""MultiPoint""}",SITE-00272311,FENTON LANE 4020,PRIMARY SITE
"53.7439468, -1.8480645","{""coordinates"": [[-1.8480645, 53.7439468]], ""type"": ""MultiPoint""}",SITE-00269294,SHIBDEN MILL 33KV LSI 26,EHV PM SITE
"53.6333075, -0.9339231","{""coordinates"": [[-0.9339231, 53.6333075]], ""type"": ""MultiPoint""}",SITE-00272310,THORNE 45058,PRIMARY SITE
"53.5585562, -1.0758639","{""coordinates"": [[-1.0758639, 53.5585562]], ""type"": ""MultiPoint""}",SITE-00273463,KIRK SANDALL 45053,PRIMARY SITE
"53.6847627, -1.6323418","{""coordinates"": [[-1.6323418, 53.6847627]], ""type"": ""MultiPoint""}",SITE-00271700,PARK ROAD 6046,PRIMARY SITE
"53.4357618, -0.7137057","{""coordinates"": [[-0.7137057, 53.4357618]], ""type"": ""MultiPoint""}",SITE-00266688,BLYTON 36,BULK SUPPLY POINT
"53.8338579, -1.8675369","{""coordinates"": [[-1.8675369, 53.8338579]], ""type"": ""MultiPoint""}",SITE-00273277,HARDEN 1689,PRIMARY SITE
"53.4276362, -0.1896925","{""coordinates"": [[-0.1896925, 53.4276362]], ""type"": ""MultiPoint""}",SITE-00273421,KIRMOND 57,EHV PM SITE
"53.5744541, -0.0565834","{""coordinates"": [[-0.0565834, 53.5744541]], ""type"": ""MultiPoint""}",SITE-00266649,MARSDEN ROAD 50,PRIMARY SITE
"53.6849667, -1.8305094","{""coordinates"": [[-1.8305094, 53.6849667]], ""type"": ""MultiPoint""}",SITE-00266647,ELLAND 6,PRIMARY SITE
"53.8849703, -1.7256878","{""coordinates"": [[-1.7256878, 53.8849703]], ""type"": ""MultiPoint""}",SITE-00266660,MENSTON 1524,BULK SUPPLY POINT
"53.7955051, -1.7904304","{""coordinates"": [[-1.7904304, 53.7955051]], ""type"": ""MultiPoint""}",SITE-00271697,GIRLINGTON 1526,BULK SUPPLY POINT
