Geo Point,Geo Shape,Asset Number,Site Name,Site Purpose
"53.60613, -0.8257884","{""coordinates"": [[-0.8257884, 53.60613]], ""type"": ""MultiPoint""}",SITE-00273370,CROWLE 45047,PRIMARY SITE
"53.9185876, -1.5337815","{""coordinates"": [[-1.5337815, 53.9185876]], ""type"": ""MultiPoint""}",SITE-00271714,DUNKESWICK 3523,PRIMARY SITE
"53.6776278, -1.6532924","{""coordinates"": [[-1.6532924, 53.6776278]], ""type"": ""MultiPoint""}",SITE-00271695,THORNHILL 7296,BULK SUPPLY POINT
"53.3569564, -1.3272273","{""coordinates"": [[-1.3272273, 53.3569564]], ""type"": ""MultiPoint""}",SITE-00273286,BEIGHTON 933,PRIMARY SITE
"53.550185, -1.4401473","{""coordinates"": [[-1.4401473, 53.550185]], ""type"": ""MultiPoint""}",SITE-00273390,STAIRFOOT 22501,PRIMARY SITE
"53.7379916, -0.5883865","{""coordinates"": [[-0.5883865, 53.7379916]], ""type"": ""MultiPoint""}",SITE-00271104,BROUGH BRANTINGHAM GRANGE 8011,EHV PM SITE
"53.806155, -1.5599722","{""coordinates"": [[-1.5599722, 53.806155]], ""type"": ""MultiPoint""}",SITE-00271415,CLARENDON ROAD 4184,PRIMARY SITE
"54.9801957, -1.5001514","{""coordinates"": [[-1.5001514, 54.9801957]], ""type"": ""MultiPoint""}",SITE-00233641,JARROW,PRIMARY SITE
"54.5276467, -1.5466378","{""coordinates"": [[-1.5466378, 54.5276467]], ""type"": ""MultiPoint""}",SITE-00233808,DARLINGTON,PRIMARY SITE
"53.4325721, -1.3735152","{""coordinates"": [[-1.3735152, 53.4325721]], ""type"": ""MultiPoint""}",SITE-00266691,PARK STREET 5475,BULK SUPPLY POINT
"53.6510854, -1.772617","{""coordinates"": [[-1.772617, 53.6510854]], ""type"": ""MultiPoint""}",SITE-00266692,ST ANDREWS ROAD GSP 23,BULK SUPPLY POINT
"53.6807142, -1.059962","{""coordinates"": [[-1.059962, 53.6807142]], ""type"": ""MultiPoint""}",SITE-00266732,POLLINGTON 49651,PRIMARY SITE
"53.8702939, -1.888714","{""coordinates"": [[-1.888714, 53.8702939]], ""type"": ""MultiPoint""}",SITE-00266640,AIREDALE ROAD 1682,PRIMARY SITE
"53.7689577, -1.0643488","{""coordinates"": [[-1.0643488, 53.7689577]], ""type"": ""MultiPoint""}",SITE-00266784,SELBY 1145,PRIMARY SITE
"53.6644945, -1.5676208","{""coordinates"": [[-1.5676208, 53.6644945]], ""type"": ""MultiPoint""}",SITE-00266539,HORBURY 6050,PRIMARY SITE
"53.3752899, -1.2219581","{""coordinates"": [[-1.2219581, 53.3752899]], ""type"": ""MultiPoint""}",SITE-00266182,DINNINGTON 2147,PRIMARY SITE
"53.4962615, -1.4129717","{""coordinates"": [[-1.4129717, 53.4962615]], ""type"": ""MultiPoint""}",SITE-00266884,ELSECAR 22495,PRIMARY SITE
"53.7381461, -1.6432972","{""coordinates"": [[-1.6432972, 53.7381461]], ""type"": ""MultiPoint""}",SITE-00267007,NAB LANE 8663,PRIMARY SITE
"53.9050496, -0.2208565","{""coordinates"": [[-0.2208565, 53.9050496]], ""type"": ""MultiPoint""}",SITE-00266676,SEATON 754,PRIMARY SITE
"53.803832, -1.899625","{""coordinates"": [[-1.899625, 53.803832]], ""type"": ""MultiPoint""}",SITE-00271265,PIT LANE 6457,EHV PM SITE
"53.5734492, -1.474236","{""coordinates"": [[-1.474236, 53.5734492]], ""type"": ""MultiPoint""}",SITE-00266651,SMITHY GREEN 22500,PRIMARY SITE
"53.4787419, -0.1695541","{""coordinates"": [[-0.1695541, 53.4787419]], ""type"": ""MultiPoint""}",SITE-00266362,WOLD NEWTON 6,BULK SUPPLY POINT
"53.6950877, -1.4286004","{""coordinates"": [[-1.4286004, 53.6950877]], ""type"": ""MultiPoint""}",SITE-00266878,NORMANTON 6058,PRIMARY SITE
"53.9167857, -1.9331831","{""coordinates"": [[-1.9331831, 53.9167857]], ""type"": ""MultiPoint""}",SITE-00266781,BOLTON ROAD 1685,PRIMARY SITE
"53.7047232, -1.1226034","{""coordinates"": [[-1.1226034, 53.7047232]], ""type"": ""MultiPoint""}",SITE-00268053,EGGBOROUGH 6073,PRIMARY SITE
"53.7883577, -1.7291662","{""coordinates"": [[-1.7291662, 53.7883577]], ""type"": ""MultiPoint""}",SITE-00266367,MOUNT STREET 1108,PRIMARY SITE
"53.395245, -1.4368338","{""coordinates"": [[-1.4368338, 53.395245]], ""type"": ""MultiPoint""}",SITE-00267106,STEVENSON ROAD 3894,PRIMARY SITE
"53.6338955, -0.5660733","{""coordinates"": [[-0.5660733, 53.6338955]], ""type"": ""MultiPoint""}",SITE-00272399,ERMINE STREET APPLEBY NORTH 46826,EHV PM SITE
"53.9881646, -1.563498","{""coordinates"": [[-1.563498, 53.9881646]], ""type"": ""MultiPoint""}",SITE-00308053,HARROGATE WEST,PRIMARY SITE
"54.1911946, -0.6237149","{""coordinates"": [[-0.6237149, 54.1911946]], ""type"": ""MultiPoint""}",SITE-00234128,YEDINGHAM,PRIMARY SITE
"53.7002742, -1.7795057","{""coordinates"": [[-1.7795057, 53.7002742]], ""type"": ""MultiPoint""}",SITE-00266913,MILLROYD STREET 15,PRIMARY SITE
"54.1420969, -0.3742697","{""coordinates"": [[-0.3742697, 54.1420969]], ""type"": ""MultiPoint""}",SITE-00271649,NORTH BURTON 66KV LSI 7605,EHV PM SITE
"53.8038442, -1.6674765","{""coordinates"": [[-1.6674765, 53.8038442]], ""type"": ""MultiPoint""}",SITE-00272222,VARLEY STREET 879,PRIMARY SITE
"53.5366197, -1.073119","{""coordinates"": [[-1.073119, 53.5366197]], ""type"": ""MultiPoint""}",SITE-00266683,MARKHAM GATES 45054,PRIMARY SITE
"53.7765084, -1.5839472","{""coordinates"": [[-1.5839472, 53.7765084]], ""type"": ""MultiPoint""}",SITE-00266785,BEESTON ROYDS 33/11KV 693,PRIMARY SITE
"53.7080247, -1.6938284","{""coordinates"": [[-1.6938284, 53.7080247]], ""type"": ""MultiPoint""}",SITE-00266184,LIVERSEDGE 14,PRIMARY SITE
"53.5356963, -0.0487941","{""coordinates"": [[-0.0487941, 53.5356963]], ""type"": ""MultiPoint""}",SITE-00266799,HUMBERSTON 4,BULK SUPPLY POINT
"53.541298, -0.5110176","{""coordinates"": [[-0.5110176, 53.541298]], ""type"": ""MultiPoint""}",SITE-00266081,BRIGG BIOMASS GENERATION 54798,PRIMARY SITE
"53.7489043, -0.2537992","{""coordinates"": [[-0.2537992, 53.7489043]], ""type"": ""MultiPoint""}",SITE-00266737,GREAT FIELD LANE GENERATION 51615,PRIMARY SITE
"53.395653, -0.3200117","{""coordinates"": [[-0.3200117, 53.395653]], ""type"": ""MultiPoint""}",SITE-00266384,WALESBY 42,PRIMARY SITE
"53.3548005, -1.4089918","{""coordinates"": [[-1.4089918, 53.3548005]], ""type"": ""MultiPoint""}",SITE-00266678,MANSFIELD ROAD 3059,PRIMARY SITE
"53.8028493, -0.3956568","{""coordinates"": [[-0.3956568, 53.8028493]], ""type"": ""MultiPoint""}",SITE-00272787,DUNSWELL LANE 33KV LSI 8093,EHV PM SITE
"53.7099963, -0.0998704","{""coordinates"": [[-0.0998704, 53.7099963]], ""type"": ""MultiPoint""}",SITE-00268158,OTTRINGHAM ROAD PRIMARY 9213,PRIMARY SITE
"53.4111192, -1.4537367","{""coordinates"": [[-1.4537367, 53.4111192]], ""type"": ""MultiPoint""}",SITE-00266545,BARNSLEY ROAD 48566,PRIMARY SITE
"53.5655607, -0.1091979","{""coordinates"": [[-0.1091979, 53.5655607]], ""type"": ""MultiPoint""}",SITE-00266190,YARBOROUGH ROAD 7,PRIMARY SITE
"53.8100816, -1.8669938","{""coordinates"": [[-1.8669938, 53.8100816]], ""type"": ""MultiPoint""}",SITE-00290686,BRADFORD WEST 1,GRID SUPPLY POINT
"53.7552286, -0.8486153","{""coordinates"": [[-0.8486153, 53.7552286]], ""type"": ""MultiPoint""}",SITE-00272960,THORPE ROAD WEST LSI 51327,EHV PM SITE
"53.734675, -1.5599361","{""coordinates"": [[-1.5599361, 53.734675]], ""type"": ""MultiPoint""}",SITE-00276473,THORPE LANE NO2 33KV LSI 4779,EHV PM SITE
"53.3872166, -1.4902819","{""coordinates"": [[-1.4902819, 53.3872166]], ""type"": ""MultiPoint""}",SITE-00267096,CROOKESMOOR ROAD 3353,PRIMARY SITE
"53.3662938, -1.4481787","{""coordinates"": [[-1.4481787, 53.3662938]], ""type"": ""MultiPoint""}",SITE-00267097,NORFOLK PARK 3338,PRIMARY SITE
"53.4838126, -1.5874398","{""coordinates"": [[-1.5874398, 53.4838126]], ""type"": ""MultiPoint""}",SITE-00268047,FOX FORD LANE 2054,PRIMARY SITE
"53.8139927, -0.9924566","{""coordinates"": [[-0.9924566, 53.8139927]], ""type"": ""MultiPoint""}",SITE-00266728,WHITEMOOR 10311,PRIMARY SITE
"53.6218798, -0.1767424","{""coordinates"": [[-0.1767424, 53.6218798]], ""type"": ""MultiPoint""}",SITE-00267003,QUEENS ROAD 14 (NEW),PRIMARY SITE
"53.7230964, -0.4629033","{""coordinates"": [[-0.4629033, 53.7230964]], ""type"": ""MultiPoint""}",SITE-00270737,HULL WEST 4078,BULK SUPPLY POINT
"53.9330839, -1.3789602","{""coordinates"": [[-1.3789602, 53.9330839]], ""type"": ""MultiPoint""}",SITE-00266636,AUDBY LANE 3803,PRIMARY SITE
"53.8016688, -1.6451096","{""coordinates"": [[-1.6451096, 53.8016688]], ""type"": ""MultiPoint""}",SITE-00266883,SWINNOW MOOR 779,PRIMARY SITE
"53.4257007, -1.5236345","{""coordinates"": [[-1.5236345, 53.4257007]], ""type"": ""MultiPoint""}",SITE-00268058,BEELEY WOOD 931,PRIMARY SITE
"53.4800635, -1.0884093","{""coordinates"": [[-1.0884093, 53.4800635]], ""type"": ""MultiPoint""}",SITE-00268060,WEST END LANE 45059,PRIMARY SITE
"53.7691538, -1.7843505","{""coordinates"": [[-1.7843505, 53.7691538]], ""type"": ""MultiPoint""}",SITE-00272406,WIBSEY 861,PRIMARY SITE
"53.7724621, -1.5241721","{""coordinates"": [[-1.5241721, 53.7724621]], ""type"": ""MultiPoint""}",SITE-00272413,LEASOWE ROAD 3396,PRIMARY SITE
"53.5625529, -0.0825643","{""coordinates"": [[-0.0825643, 53.5625529]], ""type"": ""MultiPoint""}",SITE-00272432,DOUGHTY ROAD 49,PRIMARY SITE
"53.713799, -1.3410354","{""coordinates"": [[-1.3410354, 53.713799]], ""type"": ""MultiPoint""}",SITE-00266779,CARR LANE 6064,PRIMARY SITE
"53.3820627, -0.0123446","{""coordinates"": [[-0.0123446, 53.3820627]], ""type"": ""MultiPoint""}",SITE-00266780,LOUTH 17,PRIMARY SITE
"53.8014565, -1.5000324","{""coordinates"": [[-1.5000324, 53.8014565]], ""type"": ""MultiPoint""}",SITE-00266791,YORK ROAD 1962,PRIMARY SITE
"53.7608051, -1.8285301","{""coordinates"": [[-1.8285301, 53.7608051]], ""type"": ""MultiPoint""}",SITE-00273285,QUEENSBURY 18,PRIMARY SITE
"54.2890483, -0.4333584","{""coordinates"": [[-0.4333584, 54.2890483]], ""type"": ""MultiPoint""}",SITE-00238433,NEWBY,PRIMARY SITE
"53.8731899, -1.713296","{""coordinates"": [[-1.713296, 53.8731899]], ""type"": ""MultiPoint""}",SITE-00272529,HALLAM STREET 5192,PRIMARY SITE
"53.6743396, -1.4699513","{""coordinates"": [[-1.4699513, 53.6743396]], ""type"": ""MultiPoint""}",SITE-00271424,WAKEFIELD B 7478,BULK SUPPLY POINT
"53.3876999, -0.7567753","{""coordinates"": [[-0.7567753, 53.3876999]], ""type"": ""MultiPoint""}",SITE-00276558,FOXBY LANE 40,EHV PM SITE
"53.6117232, -0.67529","{""coordinates"": [[-0.67529, 53.6117232]], ""type"": ""MultiPoint""}",SITE-00274701,PARK INGS 25602,EHV PM SITE
"53.9275704, -2.1711988","{""coordinates"": [[-2.1711988, 53.9275704]], ""type"": ""MultiPoint""}",SITE-00269490,SKIPTON ROAD 1755,EHV PM SITE
"53.5707615, -1.4386563","{""coordinates"": [[-1.4386563, 53.5707615]], ""type"": ""MultiPoint""}",SITE-00271211,BURTON ROAD 22494,PRIMARY SITE
"53.6794418, -1.6544481","{""coordinates"": [[-1.6544481, 53.6794418]], ""type"": ""MultiPoint""}",SITE-00271213,CALDER WHARF 6045,PRIMARY SITE
"53.9573806, -2.0032377","{""coordinates"": [[-2.0032377, 53.9573806]], ""type"": ""MultiPoint""}",SITE-00271416,SKIPTON 1695,PRIMARY SITE
"53.7765449, -0.4256323","{""coordinates"": [[-0.4256323, 53.7765449]], ""type"": ""MultiPoint""}",SITE-00268046,SOUTHWOOD ROAD 5628,PRIMARY SITE
"53.3621722, -1.5072913","{""coordinates"": [[-1.5072913, 53.3621722]], ""type"": ""MultiPoint""}",SITE-00272415,MARMION ROAD 36,PRIMARY SITE
"53.7396369, -2.0299899","{""coordinates"": [[-2.0299899, 53.7396369]], ""type"": ""MultiPoint""}",SITE-00272417,HEBDEN BRIDGE 10,PRIMARY SITE
"53.7169095, -1.8519542","{""coordinates"": [[-1.8519542, 53.7169095]], ""type"": ""MultiPoint""}",SITE-00272418,SWAN BANK LANE 23,PRIMARY SITE
"53.3970322, -1.4880888","{""coordinates"": [[-1.4880888, 53.3970322]], ""type"": ""MultiPoint""}",SITE-00266792,PENISTONE ROAD 4568,PRIMARY SITE
"53.5855442, -1.0791127","{""coordinates"": [[-1.0791127, 53.5855442]], ""type"": ""MultiPoint""}",SITE-00268057,TRUMFLEET GENERATION 596,PRIMARY SITE
"53.7817671, -1.4952226","{""coordinates"": [[-1.4952226, 53.7817671]], ""type"": ""MultiPoint""}",SITE-00268059,KNOSTROP 8202,PRIMARY SITE
"53.7462912, -1.4754237","{""coordinates"": [[-1.4754237, 53.7462912]], ""type"": ""MultiPoint""}",SITE-00268063,ROYDS LANE 3932,PRIMARY SITE
"53.6850263, -1.5792053","{""coordinates"": [[-1.5792053, 53.6850263]], ""type"": ""MultiPoint""}",SITE-00266956,MILTON PLACE 6049,PRIMARY SITE
"53.8565961, -0.6517402","{""coordinates"": [[-0.6517402, 53.8565961]], ""type"": ""MultiPoint""}",SITE-00269272,SANCTON ROAD LSI 33 KV 7346,EHV PM SITE
"53.6935681, -0.9073025","{""coordinates"": [[-0.9073025, 53.6935681]], ""type"": ""MultiPoint""}",SITE-00267004,GUARDIAN GLASS 46463,PRIMARY SITE
"53.6034988, -1.83705","{""coordinates"": [[-1.83705, 53.6034988]], ""type"": ""MultiPoint""}",SITE-00269866,FAR FIELDS 33KV LSI 27,EHV PM SITE
"53.7348145, -1.9975591","{""coordinates"": [[-1.9975591, 53.7348145]], ""type"": ""MultiPoint""}",SITE-00272528,MYTHOLMROYD 16,PRIMARY SITE
"53.596797, -1.5308965","{""coordinates"": [[-1.5308965, 53.596797]], ""type"": ""MultiPoint""}",SITE-00266669,WOOLLEY 22503,PRIMARY SITE
"53.4001602, -1.4371775","{""coordinates"": [[-1.4371775, 53.4001602]], ""type"": ""MultiPoint""}",SITE-00273465,NEWHALL ROAD 212,PRIMARY SITE
"53.8139326, -1.5430754","{""coordinates"": [[-1.5430754, 53.8139326]], ""type"": ""MultiPoint""}",SITE-00266685,BUSLINGTHORPE GREEN 3849,PRIMARY SITE
"53.8158551, -1.4903583","{""coordinates"": [[-1.4903583, 53.8158551]], ""type"": ""MultiPoint""}",SITE-00272308,OAKWOOD LANE 3401,PRIMARY SITE
"53.7213253, -1.7777774","{""coordinates"": [[-1.7777774, 53.7213253]], ""type"": ""MultiPoint""}",SITE-00273278,BAILIFF BRIDGE 1,PRIMARY SITE
"53.8028597, -1.534536","{""coordinates"": [[-1.534536, 53.8028597]], ""type"": ""MultiPoint""}",SITE-00271422,LEYLANDS ROAD 4151,PRIMARY SITE
"54.2370128, -0.3995649","{""coordinates"": [[-0.3995649, 54.2370128]], ""type"": ""MultiPoint""}",SITE-00233864,EASTFIELD,PRIMARY SITE
"53.7637711, -1.7623516","{""coordinates"": [[-1.7623516, 53.7637711]], ""type"": ""MultiPoint""}",SITE-00266168,ODSAL 21,PRIMARY SITE
"53.9681986, -1.9978208","{""coordinates"": [[-1.9978208, 53.9681986]], ""type"": ""MultiPoint""}",SITE-00274463,HARROGATE ROAD 2821,EHV PM SITE
"53.848431, -0.1671567","{""coordinates"": [[-0.1671567, 53.848431]], ""type"": ""MultiPoint""}",SITE-00272441,WITHERNWICK WINDFARM 52493,PRIMARY SITE
"53.6603908, 0.1156182","{""coordinates"": [[0.1156182, 53.6603908]], ""type"": ""MultiPoint""}",SITE-00266638,EASINGTON 8354,PRIMARY SITE
"53.6683489, -1.6508156","{""coordinates"": [[-1.6508156, 53.6683489]], ""type"": ""MultiPoint""}",SITE-00274132,LANE SIDE COTTAGES 8307,EHV PM SITE
"53.8895488, -1.631831","{""coordinates"": [[-1.631831, 53.8895488]], ""type"": ""MultiPoint""}",SITE-00275937,DYNELEY ARMS 5204,EHV PM SITE
"53.8856167, -1.893273","{""coordinates"": [[-1.893273, 53.8856167]], ""type"": ""MultiPoint""}",SITE-00272790,BANKS LANE 1676,EHV PM SITE
"53.8570766, -0.6498829","{""coordinates"": [[-0.6498829, 53.8570766]], ""type"": ""MultiPoint""}",SITE-00274181,WOLD ROAD LSI 33KV 7345,EHV PM SITE
"53.7346163, -1.5600671","{""coordinates"": [[-1.5600671, 53.7346163]], ""type"": ""MultiPoint""}",SITE-00272695,THORPE LANE NO 1 33KV LSI 4778,EHV PM SITE
"53.8336978, -1.4592182","{""coordinates"": [[-1.4592182, 53.8336978]], ""type"": ""MultiPoint""}",SITE-00268142,WHINMOOR 3845,BULK SUPPLY POINT
"53.6163101, -0.6651654","{""coordinates"": [[-0.6651654, 53.6163101]], ""type"": ""MultiPoint""}",SITE-00268051,BILLET LANE 5627,PRIMARY SITE
"53.3592628, -1.3683451","{""coordinates"": [[-1.3683451, 53.3592628]], ""type"": ""MultiPoint""}",SITE-00272402,REVILL LANE 3926,PRIMARY SITE
"53.6543143, -1.8247747","{""coordinates"": [[-1.8247747, 53.6543143]], ""type"": ""MultiPoint""}",SITE-00272404,OAKES ROAD 17,PRIMARY SITE
"53.7384832, -0.1393295","{""coordinates"": [[-0.1393295, 53.7384832]], ""type"": ""MultiPoint""}",SITE-00268235,ELLIFOOT LANE 43266,PRIMARY SITE
"53.3502983, -1.3844329","{""coordinates"": [[-1.3844329, 53.3502983]], ""type"": ""MultiPoint""}",SITE-00268244,HACKENTHORPE 2460,PRIMARY SITE
"53.8268245, -1.4627704","{""coordinates"": [[-1.4627704, 53.8268245]], ""type"": ""MultiPoint""}",SITE-00273470,SEACROFT 2950,PRIMARY SITE
"53.7857337, -1.0517697","{""coordinates"": [[-1.0517697, 53.7857337]], ""type"": ""MultiPoint""}",SITE-00271702,OLYMPIA MILLS 2485,PRIMARY SITE
"53.9562585, -2.0351435","{""coordinates"": [[-2.0351435, 53.9562585]], ""type"": ""MultiPoint""}",SITE-00272411,INGS LANE 1691,PRIMARY SITE
"53.3909332, -1.4395273","{""coordinates"": [[-1.4395273, 53.3909332]], ""type"": ""MultiPoint""}",SITE-00273282,STOKE STREET 629,PRIMARY SITE
"53.575095, -0.1286359","{""coordinates"": [[-0.1286359, 53.575095]], ""type"": ""MultiPoint""}",SITE-00273284,GREAT COATES 12,PRIMARY SITE
"53.5586766, -1.1413908","{""coordinates"": [[-1.1413908, 53.5586766]], ""type"": ""MultiPoint""}",SITE-00271413,BENTLEY PRIMARY 45045,PRIMARY SITE
"53.5153343, -0.002932","{""coordinates"": [[-0.002932, 53.5153343]], ""type"": ""MultiPoint""}",SITE-00308220,BISHOPTHORPE WINDFARM 56137,PRIMARY SITE
"53.7759318, -1.5837867","{""coordinates"": [[-1.5837867, 53.7759318]], ""type"": ""MultiPoint""}",SITE-00270929,BEESTON ROYDS 132/33KV 693,BULK SUPPLY POINT
"53.4010791, -0.6084867","{""coordinates"": [[-0.6084867, 53.4010791]], ""type"": ""MultiPoint""}",SITE-00271208,HARPSWELL 44,PRIMARY SITE
"53.8067411, -1.5891309","{""coordinates"": [[-1.5891309, 53.8067411]], ""type"": ""MultiPoint""}",SITE-00271323,KIRKSTALL C SECTION 2+5 132/33KV 47347,BULK SUPPLY POINT
"53.7964711, -1.7587906","{""coordinates"": [[-1.7587906, 53.7964711]], ""type"": ""MultiPoint""}",SITE-00273468,RAWSON ROAD 1260,PRIMARY SITE
"53.686108, -1.4988569","{""coordinates"": [[-1.4988569, 53.686108]], ""type"": ""MultiPoint""}",SITE-00272225,YORK STREET 6055,PRIMARY SITE
"53.3808749, -1.4818218","{""coordinates"": [[-1.4818218, 53.3808749]], ""type"": ""MultiPoint""}",SITE-00266177,VICTORIA STREET 630,PRIMARY SITE
"54.5864539, -1.2698128","{""coordinates"": [[-1.2698128, 54.5864539]], ""type"": ""MultiPoint""}",SITE-00310806,CASSEL SWITCH,PRIMARY SITE
"53.8648282, -1.9059207","{""coordinates"": [[-1.9059207, 53.8648282]], ""type"": ""MultiPoint""}",SITE-00271694,KEIGHLEY 6132,BULK SUPPLY POINT
"54.6096562, -1.532525","{""coordinates"": [[-1.532525, 54.6096562]], ""type"": ""MultiPoint""}",SITE-00229155,SKERNESIDE,PRIMARY SITE
"53.5577557, -0.0693846","{""coordinates"": [[-0.0693846, 53.5577557]], ""type"": ""MultiPoint""}",SITE-00271703,CONVAMORE ROAD 8,PRIMARY SITE
"54.9773609, -1.60469","{""coordinates"": [[-1.60469, 54.9773609]], ""type"": ""MultiPoint""}",SITE-00229086,PANDON,PRIMARY SITE
"53.3296716, -1.4588475","{""coordinates"": [[-1.4588475, 53.3296716]], ""type"": ""MultiPoint""}",SITE-00290867,JORDANTHORPE GSP 4163,GRID SUPPLY POINT
"53.9842285, -2.089663","{""coordinates"": [[-2.089663, 53.9842285]], ""type"": ""MultiPoint""}",SITE-00271087,GARGRAVE 1688,EHV PM SITE
"54.0322369, -1.678511","{""coordinates"": [[-1.678511, 54.0322369]], ""type"": ""MultiPoint""}",SITE-00239800,DARLEY,PRIMARY SITE
"55.1411508, -1.5307594","{""coordinates"": [[-1.5307594, 55.1411508]], ""type"": ""MultiPoint""}",SITE-00250231,BLYTH 275KV,BULK SUPPLY POINT
"55.165604, -2.0785754","{""coordinates"": [[-2.0785754, 55.165604]], ""type"": ""MultiPoint""}",SITE-00318900,RAY WINDFARM,PRIMARY SITE
"55.1755983, -2.4621097","{""coordinates"": [[-2.4621097, 55.1755983]], ""type"": ""MultiPoint""}",SITE-00239883,KIELDER,PRIMARY SITE
"53.7440545, -0.2451294","{""coordinates"": [[-0.2451294, 53.7440545]], ""type"": ""MultiPoint""}",SITE-00272307,HEDON ROAD 5498,PRIMARY SITE
"53.7801026, -1.5232587","{""coordinates"": [[-1.5232587, 53.7801026]], ""type"": ""MultiPoint""}",SITE-00270931,LOW ROAD 132/33KV 999,BULK SUPPLY POINT
"54.5867772, -1.5661382","{""coordinates"": [[-1.5661382, 54.5867772]], ""type"": ""MultiPoint""}",SITE-00308528,AYCLIFFE FORREST,PRIMARY SITE
"54.5981692, -1.2760895","{""coordinates"": [[-1.2760895, 54.5981692]], ""type"": ""MultiPoint""}",SITE-00310099,BELASIS OIL AND GAS SWITCH,PRIMARY SITE
"53.4542136, -0.0728843","{""coordinates"": [[-0.0728843, 53.4542136]], ""type"": ""MultiPoint""}",SITE-00274664,NORTH THORESBY 21,PRIMARY SITE
"53.4198096, -0.1765523","{""coordinates"": [[-0.1765523, 53.4198096]], ""type"": ""MultiPoint""}",SITE-00309196,BINBROOK 19,PRIMARY SITE
"53.7362398, -0.9924049","{""coordinates"": [[-0.9924049, 53.7362398]], ""type"": ""MultiPoint""}",SITE-00309416,DRAX 400KV,BULK SUPPLY POINT
"53.5517347, -1.4392658","{""coordinates"": [[-1.4392658, 53.5517347]], ""type"": ""MultiPoint""}",SITE-00273925,GRANGE LANE 22391,EHV PM SITE
"53.7194347, -1.271145","{""coordinates"": [[-1.271145, 53.7194347]], ""type"": ""MultiPoint""}",SITE-00266738,FERRYBRIDGE 6069 [NEW],PRIMARY SITE
"54.3079851, -1.8506023","{""coordinates"": [[-1.8506023, 54.3079851]], ""type"": ""MultiPoint""}",SITE-00233066,WENSLEYDALE,PRIMARY SITE
"53.3774651, -1.3724241","{""coordinates"": [[-1.3724241, 53.3774651]], ""type"": ""MultiPoint""}",SITE-00272306,ORGREAVE 3065,PRIMARY SITE
"53.7926696, -1.3760571","{""coordinates"": [[-1.3760571, 53.7926696]], ""type"": ""MultiPoint""}",SITE-00268151,NINELANDS LANE 3933,PRIMARY SITE
"53.594726, -1.0196769","{""coordinates"": [[-1.0196769, 53.594726]], ""type"": ""MultiPoint""}",SITE-00266916,STAINFORTH 45057,PRIMARY SITE
"54.2299004, -1.3886135","{""coordinates"": [[-1.3886135, 54.2299004]], ""type"": ""MultiPoint""}",SITE-00233065,THIRSK,PRIMARY SITE
"54.7994508, -1.5907183","{""coordinates"": [[-1.5907183, 54.7994508]], ""type"": ""MultiPoint""}",SITE-00230143,POTTER HOUSE,PRIMARY SITE
"54.1335215, -1.5216953","{""coordinates"": [[-1.5216953, 54.1335215]], ""type"": ""MultiPoint""}",SITE-00234095,RIPON,PRIMARY SITE
"53.9971264, -1.4990051","{""coordinates"": [[-1.4990051, 53.9971264]], ""type"": ""MultiPoint""}",SITE-00234096,STARBECK,PRIMARY SITE
"53.976685, -1.5311842","{""coordinates"": [[-1.5311842, 53.976685]], ""type"": ""MultiPoint""}",SITE-00234094,OATLANDS,PRIMARY SITE
"55.0918405, -1.6053234","{""coordinates"": [[-1.6053234, 55.0918405]], ""type"": ""MultiPoint""}",SITE-00228770,CRAMLINGTON,PRIMARY SITE
"55.0340309, -1.5804344","{""coordinates"": [[-1.5804344, 55.0340309]], ""type"": ""MultiPoint""}",SITE-00228774,KILLINGWORTH,PRIMARY SITE
"55.1631303, -1.6730682","{""coordinates"": [[-1.6730682, 55.1631303]], ""type"": ""MultiPoint""}",SITE-00233259,MORPETH,PRIMARY SITE
"55.1565176, -1.5454368","{""coordinates"": [[-1.5454368, 55.1565176]], ""type"": ""MultiPoint""}",SITE-00234273,WANSBECK,PRIMARY SITE
"54.4940035, -1.2580345","{""coordinates"": [[-1.2580345, 54.4940035]], ""type"": ""MultiPoint""}",SITE-00243320,SEAMER WIND FARM,PRIMARY SITE
"54.6174342, -1.0980209","{""coordinates"": [[-1.0980209, 54.6174342]], ""type"": ""MultiPoint""}",SITE-00243321,WARRENBY GENERATION,PRIMARY SITE
"54.5398658, -1.298216","{""coordinates"": [[-1.298216, 54.5398658]], ""type"": ""MultiPoint""}",SITE-00232020,MILLBANK LANE,PRIMARY SITE
"54.3947411, -0.487701","{""coordinates"": [[-0.487701, 54.3947411]], ""type"": ""MultiPoint""}",SITE-00236168,RAVENSCAR,PRIMARY SITE
"54.480118, -0.635173","{""coordinates"": [[-0.635173, 54.480118]], ""type"": ""MultiPoint""}",SITE-00233869,WHITBY WEST,PRIMARY SITE
"54.6965928, -1.2143555","{""coordinates"": [[-1.2143555, 54.6965928]], ""type"": ""MultiPoint""}",SITE-00229040,AMBERTON ROAD,PRIMARY SITE
"54.6160306, -1.2839745","{""coordinates"": [[-1.2839745, 54.6160306]], ""type"": ""MultiPoint""}",SITE-00229041,BILLINGHAM MARSH HOUSE,PRIMARY SITE
"54.6529078, -1.2105009","{""coordinates"": [[-1.2105009, 54.6529078]], ""type"": ""MultiPoint""}",SITE-00229322,HARTLEPOOL STEEL,PRIMARY SITE
