circuit_section_id,circuit_id,line_situation,voltage,circuit_section_name_normalized,circuit_name_normalized,candidate_labels,candidate_bases,match_status,appendix_indices,appendix_node_labels,appendix_base_labels,gsp_candidates,resolution_notes
147907250_147907251,142089878.0,OVERHEAD,33000.0,TEE TO 147907251,BOWESFIELD (RUDBY) - RUDBY TEED,"[""BOWESFIELD"", ""RUDBY""]","[""BOWESFIELD"", ""RUDBY""]",matched,[1033],"[""BOWESFIELD 33KV"", ""RUDBY TRANSFORMER 1 33KV""]","[""RUDBY"", ""BOWESFIELD""]","[""Norton""]",Unique base pair match
147907251_142109467,142089878.0,UNDERGROUND,33000.0,TEE TO RUDBY,BOWESFIELD (RUDBY) - RUDBY TEED,"[""RUDBY"", ""BOWESFIELD""]","[""RUDBY"", ""BOWESFIELD""]",matched,[1033],"[""BOWESFIELD 33KV"", ""RUDBY TRANSFORMER 1 33KV""]","[""RUDBY"", ""BOWESFIELD""]","[""Norton""]",Unique base pair match
147907259_147931335,142089871.0,OVERHEAD,33000.0,147907259 - 147931335 TEED,BOWESFIELD (STOKESLEY) - STOKESLEY TEED,"[""BOWESFIELD"", ""STOKESLEY""]","[""BOWESFIELD"", ""STOKESLEY""]",ambiguous,"[447, 1037]",[],"[""BOWESFIELD"", ""STOKESLEY"", ""BOWESFIELD SEAMER STOKESLEY TEE""]","[""Norton""]",Multiple Appendix rows share the same base pair
147907285_147907286,142129169.0,OVERHEAD,66000.0,TEE TO 147907286,TORONTO (EASTGATE CEMENT 1) - EASTGATE CEMENT TEED,"[""TORONTO"", ""EASTGATE CEMENT""]","[""TORONTO"", ""EASTGATE CEMENT""]",matched,[533],"[""TORONTO 66KV"", ""EASTGATE CEMENT TRANSFORMER 1 66KV""]","[""TORONTO"", ""EASTGATE CEMENT""]","[""Spennymoor GSP""]",Unique base pair match
147907286_142091110,142129169.0,UNDERGROUND,66000.0,TEE TO EASTGATE CEMENT,TORONTO (EASTGATE CEMENT 1) - EASTGATE CEMENT TEED,"[""EASTGATE CEMENT"", ""TORONTO""]","[""EASTGATE CEMENT"", ""TORONTO""]",matched,[533],"[""TORONTO 66KV"", ""EASTGATE CEMENT TRANSFORMER 1 66KV""]","[""TORONTO"", ""EASTGATE CEMENT""]","[""Spennymoor GSP""]",Unique base pair match
147907296_144379616,142084322.0,UNDERGROUND,66000.0,TEE TO BENSHAM,DUNSTON (BENSHAM 1 ISOL) - BENSHAM TEED,"[""BENSHAM"", ""DUNSTON""]","[""BENSHAM"", ""DUNSTON""]",ambiguous,"[554, 1679]",[],"[""BENSHAM"", ""DUNSTON""]","[""Stella North""]",Multiple Appendix rows share the same base pair
147907305_144379617,142084238.0,UNDERGROUND,66000.0,TEE TO BENSHAM,DUNSTON (BENSHAM 2 ISOL) - BENSHAM TEED,"[""BENSHAM"", ""DUNSTON""]","[""BENSHAM"", ""DUNSTON""]",ambiguous,"[554, 1679]",[],"[""BENSHAM"", ""DUNSTON""]","[""Stella North""]",Multiple Appendix rows share the same base pair
147907330_147907331,142091186.0,OVERHEAD,66000.0,147907330 - 147907331 TEED,SPENNYMOOR (TORONTO NO 3 TEED) - TORONTO TEED,"[""SPENNYMOOR"", ""TORONTO""]","[""SPENNYMOOR"", ""TORONTO""]",ambiguous,"[1655, 1656]",[],"[""TORONTO"", ""SPENNYMOOR""]","[""Spennymoor GSP""]",Multiple Appendix rows share the same base pair
147907331_142091140,142091186.0,UNDERGROUND,66000.0,TEE TO LOW SPENNYMOOR,SPENNYMOOR (TORONTO NO 3 TEED) - TORONTO TEED,"[""LOW SPENNYMOOR"", ""SPENNYMOOR"", ""TORONTO""]","[""LOW SPENNYMOOR"", ""SPENNYMOOR"", ""TORONTO""]",ambiguous,"[1655, 1656, 1658]",[],"[""TORONTO"", ""SPENNYMOOR"", ""LOW SPENNYMOOR""]","[""Spennymoor GSP""]",Multiple Appendix rows share the same base pair
147907331_147907332,142091186.0,OVERHEAD,66000.0,147907331 - 147907332 TEED,SPENNYMOOR (TORONTO NO 3 TEED) - TORONTO TEED,"[""SPENNYMOOR"", ""TORONTO""]","[""SPENNYMOOR"", ""TORONTO""]",ambiguous,"[1655, 1656]",[],"[""TORONTO"", ""SPENNYMOOR""]","[""Spennymoor GSP""]",Multiple Appendix rows share the same base pair
