S/S Group,S/S or Busbar Name Node,Primary Voltage (kV),S/S or Busbar Name Node 2,Secondary Voltage (kV),Vector Group,Positive Sequence Impedance R (% on 100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Zero Sequence Reactance X (% on 100 MVA Base),Minimum Tap %,Maximum Tap %,Transformer Rating (MVA),Reverse Power Capability (MVA),Method of Earthing,Licence Area,Transformer Substation,"Substation Class (Primary, BSP)",Geo Point
BRADFORD WEST,Bingley 33/11kV T1,33.0,Not given for Yorkshire,11.5,Yy0,4.46,83.98,578.94,-10.0,10.0,24.0,24,Impedance,Yorkshire,Bingley 33/11kV,Primary,
BRADFORD WEST,Bingley 132/33kV T1,132.0,Not given for Yorkshire,33.0,Yd9,0.8,25.5,22.4,-20.0,10.0,90.0,90,Solid,Yorkshire,Bingley 132/33kV,BSP,
BRADFORD WEST,AIREDALE ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,65.0,65,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Airedale Road,Primary,
BRADFORD WEST,AIREDALE ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,65.0,65,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Airedale Road,Primary,
CREYKE BECK,NEWPORT T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,77.6,77.6,-10.0,10.0,24.0,NOT KNOWN,Solid,Yorkshire,Newport 1,Primary,
CREYKE BECK,WEST DOCKS T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,100.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,West Docks,Primary,
CREYKE BECK,TIVERTON ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,96.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Tiverton Road,Primary,
CREYKE BECK,SPARK MILL LANE T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,100.0,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Spark Mill Lane,Primary,
CREYKE BECK,SOUTHWOOD ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,98.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Southwood Road,Primary,
CREYKE BECK,SOUTHGATE,33.0,Not given for Yorkshire,11.0,Yy0,4.0,98.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Southgate,Primary,
CREYKE BECK,SKILLINGS LANE T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,95.5,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Skillings Lane,Primary,
CREYKE BECK,PLANGEO T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Plangeo,Primary,
CREYKE BECK,MARTONGATE T2,66.0,Not given for Yorkshire,11.0,Yy0,8.0,123.0,123,-15.0,5.0,12.0,NOT KNOWN,Solid,Yorkshire,Martongate,Primary,
CREYKE BECK,HUNMANBY T2,66.0,Not given for Yorkshire,11.0,Yy0,4.0,72.4,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Hunmanby,Primary,
CREYKE BECK,HUNMANBY T1,66.0,Not given for Yorkshire,11.0,Yy0,4.0,72.4,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Hunmanby,Primary,
CREYKE BECK,HULL SOUTH GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.65,25.4,22.4,-20.0,10.0,90.0,90,Solid,Yorkshire,Hull South,BSP,
CREYKE BECK,FIRST AVENUE T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.4,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,First Avenue,Primary,"55.182012490805626, -1.564269800734777"
CREYKE BECK,DRIFFIELD T2,66.0,Not given for Yorkshire,11.5,Yy0,3.89,106.33,106.33,-10.0,10.0,24.0,24,Solid,Yorkshire,Driffield,Primary,
CREYKE BECK,DRIFFIELD GT2,132.0,Not given for Yorkshire,66.0,Yd9,0.49,6.4,5.9,-20.0,10.0,90.0,90,Solid,Yorkshire,Driffield,BSP,
CREYKE BECK,CORNWALL ST GT2,132.0,Not given for Yorkshire,11.0,Yd9,2.7,106.2,94.6,-20.0,10.0,30.0,30,Solid,Yorkshire,Cornwall Street,Primary,
CREYKE BECK,CORNWALL ST GT1,132.0,Not given for Yorkshire,11.0,Yd9,2.7,105.2,93.6,-20.0,10.0,30.0,30,Solid,Yorkshire,Cornwall Street,Primary,
CREYKE BECK,BRANSHOLME GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.7,27.3,24.4,-20.0,10.0,90.0,90,Solid,Yorkshire,Bransholme,BSP,
CREYKE BECK,Beverley 132/33kV G3,132.0,Not given for Yorkshire,66.0,Yd9,0.89,6.32,6.22,-20.0,10.0,60.0,60,Solid,Yorkshire,Beverley 132/33kV,BSP,
CREYKE BECK,ALFRED GELDER STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.2,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Alfred Gelder Street,Primary,
DRAX,THORPE ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,74.5,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Thorpe Road,Primary,
DRAX,OLYMPIA MILLS T2,33.0,Not given for Yorkshire,11.5,Yy0,8.3,105.07,583.87,-15.0,5.0,30.0,30,Impedance,Yorkshire,Olympia Mills,Primary,
ELLAND,SWAN BANK LANE T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.8,500,-15.0,5.0,24.0,NOT KNOWN,Impedance,Yorkshire,Swan Bank Lane,Primary,
ELLAND,SWAN BANK LANE T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.0,500,-15.0,5.0,24.0,NOT KNOWN,Impedance,Yorkshire,Swan Bank Lane,Primary,
