S/S Group,S/S or Busbar Name Node,Primary Voltage (kV),S/S or Busbar Name Node 2,Secondary Voltage (kV),Vector Group,Positive Sequence Impedance R (% on 100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Zero Sequence Reactance X (% on 100 MVA Base),Minimum Tap %,Maximum Tap %,Transformer Rating (MVA),Reverse Power Capability (MVA),Method of Earthing,Licence Area,Transformer Substation,"Substation Class (Primary, BSP)",Geo Point
SKELTON GRANGE,SELBY ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,64.7,64.7,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Selby Road,Primary,
SKELTON GRANGE,SELBY ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,64.7,64.7,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Selby Road,Primary,
SKELTON GRANGE,ROYDS LANE T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,90.7,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Royds Lane,Primary,
SKELTON GRANGE,RAWDON T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,61.3,61.3,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Rawdon,Primary,
SKELTON GRANGE,RAWDON T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,61.3,61.3,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Rawdon,Primary,
SKELTON GRANGE,Pontefract Lane 1/2 T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,100.0,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Pontefract Lane 1/2,Primary,
SKELTON GRANGE,ODSAL T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,97.4,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Odsal,Primary,
SKELTON GRANGE,MOOR ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.0,66,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Moor Road,Primary,
SKELTON GRANGE,MILTON PLACE T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.6,66.6,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Milton Place,Primary,
SKELTON GRANGE,LOW ROAD GT2,132.0,Not given for Yorkshire,33.0,Yd9,0.46,25.6,23.8,-20.0,10.0,120.0,120,Solid,Yorkshire,Low Road,BSP,
SKELTON GRANGE,LIVERSEDGE T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,64.0,64,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Liversedge,Primary,
SKELTON GRANGE,LEYLANDS ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,95.7,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Leylands Road,Primary,
SKELTON GRANGE,LEEDS EAST GT4,132.0,Not given for Yorkshire,33.0,Yd9,0.7,25.5,22.4,-20.0,10.0,90.0,90,Solid,Yorkshire,Leeds East,BSP,
SKELTON GRANGE,LEEDS EAST GT3,132.0,Not given for Yorkshire,33.0,Yd9,0.7,25.4,22.4,-20.0,10.0,90.0,90,Solid,Yorkshire,Leeds East,BSP,
SKELTON GRANGE,KNOSTROP T2,33.0,Not given for Yorkshire,11.5,Yy0,4.0,72.9,500,-10.0,10.0,12.0,12,Impedance,Yorkshire,Knostrop,Primary,
SKELTON GRANGE,KNOSTROP T1,33.0,Not given for Yorkshire,11.5,Yy0,4.0,73.5,500,-10.0,10.0,12.0,12,Impedance,Yorkshire,Knostrop,Primary,
SKELTON GRANGE,KENMORE ROAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,68.0,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Kenmore Road,Primary,
SKELTON GRANGE,HOLBECK T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,94.5,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Holbeck,Primary,
SKELTON GRANGE,HOLBECK T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,96.5,550,-15.0,5.0,23.0,NOT KNOWN,Impedance,Yorkshire,Holbeck,Primary,
SKELTON GRANGE,HECKMONDWIKE GT2,132.0,Not given for Yorkshire,33.0,Yd9,0.7,28.8,25.3,-20.0,10.0,90.0,90,Solid,Yorkshire,Heckmondwike,BSP,
SKELTON GRANGE,HECKMONDWIKE GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.7,29.1,25.6,-20.0,10.0,90.0,90,Solid,Yorkshire,Heckmondwike,BSP,
SKELTON GRANGE,DUDLEY HILL T1,33.0,Not given for Yorkshire,11.5,Yy0,7.55,97.71,495.86,-10.0,10.0,30.0,30,Impedance,Yorkshire,Dudley Hill,Primary,
SKELTON GRANGE,CARLTON HILL T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,65.8,65.8,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Carlton Hill,Primary,
SKELTON GRANGE,BURNLEYVILLE T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,95.5,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Burnleyville,Primary,
SKELTON GRANGE,BURMANTOFTS T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.7,66.7,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Burmantofts,Primary,
SKELTON GRANGE,ARMOURIES DRIVE T3,33.0,Not given for Yorkshire,11.5,Yy0,7.99,97.27,587.5,-10.0,10.0,30.0,30,Impedance,Yorkshire,Armouries Drive,Primary,
SKELTON GRANGE,ARMOURIES DRIVE T2,33.0,Not given for Yorkshire,11.5,Yy0,7.55,97.75,578.5,-10.0,10.0,30.0,30,Impedance,Yorkshire,Armouries Drive,Primary,
SPENNYMOOR,Toronto T2,66.0,Toronto,20.0,Yy0,0.5,64.98,Not given for Northeast,-20.0,10.0,40.0,40,Solid / Impedance,Northeast,Toronto,Primary,
SPENNYMOOR,Toronto T1,66.0,Toronto,20.0,Yy0,0.5,65.4,Not given for Northeast,-20.0,10.0,40.0,40,Solid / Impedance,Northeast,Toronto,Primary,
SPENNYMOOR,Toronto GT1,132.0,Toronto GT1,66.0,Yy0,0.64,19.1,Not given for Northeast,-20.0,10.0,90.0,90,Solid / Impedance,Northeast,Toronto,BSP,
SPENNYMOOR,Spennymoor GT2,132.0,Spennymoor GT2,66.0,Yy0,0.9,16.4,Not given for Northeast,-10.0,10.0,75.0,75,Solid / Impedance,Northeast,Spennymoor,BSP,
SPENNYMOOR,Skerneside T2,66.0,Skerneside,22.0,Yy0,2.03,49.26,Not given for Northeast,-10.5,10.5,40.0,NOT KNOWN,Solid / Impedance,Northeast,Skerneside,Primary,
SPENNYMOOR,Skerneside T1,66.0,Skerneside,22.0,Yy0,2.03,49.26,Not given for Northeast,-10.5,10.5,40.0,NOT KNOWN,Solid / Impedance,Northeast,Skerneside,Primary,
SPENNYMOOR,Potter House T5,66.0,Potter House,11.5,Dy11,4.6,86.63,Not given for Northeast,-15.0,6.0,30.0,30,Solid / Impedance,Northeast,Potter House,Primary,
SPENNYMOOR,Potter House T4,66.0,Potter House,11.5,Dy11,4.6,82.63,Not given for Northeast,-15.0,6.0,30.0,30,Solid / Impedance,Northeast,Potter House,Primary,
SPENNYMOOR,Potter House T3,66.0,Potter House,22.0,Yy0,3.2,58.0,Not given for Northeast,-10.5,10.5,25.0,25,Solid / Impedance,Northeast,Potter House,Primary,
SPENNYMOOR,High Flatts T1,66.0,High Flatts,11.5,Dy11,4.41,83.27,Not given for Northeast,-15.0,6.0,18.75,18.75,Solid / Impedance,Northeast,High Flatts,Primary,
SPENNYMOOR,Harmire Bridge T2,66.0,Harmire Bridge,20.0,Yy0,2.03,64.5,Not given for Northeast,-20.0,10.0,40.0,40,Solid / Impedance,Northeast,Harmire Bridge,Primary,
SPENNYMOOR,Fylands Bridge T1,66.0,Fylands Bridge,11.5,Dy11,4.62,81.33,Not given for Northeast,-15.0,6.0,18.75,18.75,Solid / Impedance,Northeast,Fylands Bridge,Primary,
SPENNYMOOR,Eastgate Cement T2,66.0,Eastgate Cement,22.0,Yy0,3.55,62.95,Not given for Northeast,-10.5,10.5,25.0,25,Solid / Impedance,Northeast,Eastgate Cement,Primary,
SPENNYMOOR,Eastgate Cement T1,66.0,Eastgate Cement,22.0,Yy0,3.52,64.65,Not given for Northeast,-10.5,10.5,25.0,25,Solid / Impedance,Northeast,Eastgate Cement,Primary,
SPENNYMOOR,Durham East T2,66.0,Durham East,11.5,Dy11,4.17,77.0,Not given for Northeast,-10.0,10.0,18.75,18.75,Solid / Impedance,Northeast,Durham East,Primary,
STELLA,University T2,33.0,University,11.5,Yy6,4.2,104.75,Not given for Northeast,-10.0,10.0,32.0,32,Solid / Impedance,Northeast,University,Primary,
STELLA,University T1,33.0,University,11.5,Yy6,4.25,104.5,Not given for Northeast,-10.0,10.0,32.0,32,Solid / Impedance,Northeast,University,Primary,
STELLA,Team Valley T2,66.0,Team Valley (Ravensworth),22.0,Yy0,2.34,46.8,Not given for Northeast,-10.5,10.5,42.0,42,Solid / Impedance,Northeast,Team Valley,Primary,
STELLA,Tanfield T2,66.0,Tanfield,11.5,Dy11,3.85,79.6,Not given for Northeast,-15.0,6.0,32.0,NOT KNOWN,Solid / Impedance,Northeast,Tanfield,Primary,
STELLA,Tanfield T1,66.0,Tanfield,11.5,Dy11,3.68,78.7,Not given for Northeast,-15.0,6.0,32.0,NOT KNOWN,Solid / Impedance,Northeast,Tanfield,Primary,
STELLA,Newcastle Airport T2,33.0,Newcastle Airport,11.5,Yy6,4.0,75.0,Not given for Northeast,-15.0,6.0,24.0,24,Solid / Impedance,Northeast,Newcastle Airport,Primary,
STELLA,Kenton T2,33.0,Kenton,11.5,Yy6,4.67,82.4,Not given for Northeast,-10.0,10.0,24.0,NOT KNOWN,Solid / Impedance,Northeast,Kenton,Primary,
STELLA,Hexham T1,66.0,Hexham,22.0,Yy0,2.09,48.0,Not given for Northeast,-10.5,10.5,37.5,37.5,Solid / Impedance,Northeast,Hexham,Primary,
STELLA,Dunston T3,66.0,Dunston,22.0,Yy0,3.6,63.0,Not given for Northeast,-10.0,10.0,30.0,30,Solid / Impedance,Northeast,Dunston,Primary,
STELLA,Dunston GT2,132.0,Dunston GT2,66.0,Yy0,0.24,8.07,Not given for Northeast,-20.0,10.0,150.0,150,Solid / Impedance,Northeast,Dunston,BSP,
STELLA,Consett T2,66.0,Consett,20.0,Yy0,0.0,65.0,Not given for Northeast,-20.0,10.0,40.0,40,Solid / Impedance,Northeast,Consett,Primary,
STELLA,Consett T1,66.0,Consett,20.0,Yy0,0.01,65.0,Not given for Northeast,-20.0,10.0,40.0,40,Solid / Impedance,Northeast,Consett,Primary,
STELLA,Close T2,66.0,Close,11.5,Dy11,3.16,100.26,Not given for Northeast,-15.0,6.0,32.0,32,Solid / Impedance,Northeast,Close,Primary,
STELLA,Blucher T2,33.0,Blucher,11.5,Yy6,4.5,82.0,Not given for Northeast,-15.0,5.0,24.0,12,Solid / Impedance,Northeast,Blucher,Primary,
STELLA,Birtley Grove T2 T4,66.0,Birtley Grove,11.5,Dy11,3.67,63.0,Not given for Northeast,-10.5,10.5,32.0,32,Solid / Impedance,Northeast,Birtley Grove 66/11kV,Primary,
STELLA,Birtley Grove T2 T4,66.0,Birtley Grove,22.0,Yy0,2.38,73.13,Not given for Northeast,-15.0,6.0,30.0,30,Solid / Impedance,Northeast,Birtley Grove 66/20kV,Primary,
STELLA,Birtley Grove T1 T3,66.0,Birtley Grove,11.5,Dy11,3.6,62.67,Not given for Northeast,-10.5,10.5,32.0,32,Solid / Impedance,Northeast,Birtley Grove 66/11kV,Primary,
STELLA,Birtley Grove T1 T3,66.0,Birtley Grove,22.0,Yy0,2.38,73.13,Not given for Northeast,-15.0,6.0,30.0,30,Solid / Impedance,Northeast,Birtley Grove 66/20kV,Primary,
STELLA,Annfield T4,66.0,Annfield T4,22.0,Yy0,3.14,58.0,Not given for Northeast,-10.5,10.5,25.0,25,Solid / Impedance,Northeast,Annfield,Primary,
STELLA,Annfield T3,66.0,Annfield T3,22.0,Yy0,3.14,58.0,Not given for Northeast,-10.0,10.0,25.0,25,Solid / Impedance,Northeast,Annfield,Primary,
THURCROFT,Mexborough 1_2 T2,66.0,Not given for Yorkshire,11.0,Yy0,4.0,70.7,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Mexborough 1_2,Primary,
THURCROFT,TICKHILL ROAD T2,66.0,Not given for Yorkshire,11.5,Yy0,7.92,85.98,646.6,-10.0,10.0,30.0,30,Impedance,Yorkshire,Tickhill Road,Primary,
THURCROFT,TICKHILL ROAD T1,66.0,Not given for Yorkshire,11.5,Yy0,7.93,86.2,647.1,-10.0,10.0,30.0,30,Impedance,Yorkshire,Tickhill Road,Primary,
THURCROFT,SILVERWOOD T1,66.0,Not given for Yorkshire,11.0,Yy0,4.0,84.52,740.05,-10.0,10.0,24.0,24,Impedance,Yorkshire,Silverwood,Primary,
THURCROFT,NEW ORCHARD LANE T1,66.0,Not given for Yorkshire,11.0,Yy0,6.0,83.1,83.1,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,New Orchard Lane,Primary,
THURCROFT,KIVETON PARK T1,66.0,Not given for Yorkshire,11.0,Yy0,8.0,125.0,125,-15.0,5.0,12.5,12.5,Solid,Yorkshire,Kiveton Park,Primary,
THURCROFT,HACKENTHORPE T2,66.0,Not given for Yorkshire,11.0,Yy0,4.0,70.8,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Hackenthorpe,Primary,
THURCROFT,EDLINGTON T1,66.0,Not given for Yorkshire,11.0,Yy0,6.0,86.7,86.7,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Edlington,Primary,
THURCROFT,DINNINGTON T1,66.0,Not given for Yorkshire,11.5,Yy0,6.18,87.26,578.51,-15.0,5.0,30.0,30,Impedance,Yorkshire,Dinnington,Primary,
THURCROFT,COSTHORPE T2,66.0,Not given for Yorkshire,11.0,Yy0,8.0,117.5,117.5,-15.0,5.0,12.5,12.5,Solid,Yorkshire,Costhorpe,Primary,
THURCROFT,BEIGHTON T2,66.0,Not given for Yorkshire,11.5,Yy0,2.79,100.8,731.41,-10.0,10.0,25.0,25,Impedance,Yorkshire,Beighton,Primary,
THURCROFT,BEIGHTON T1,66.0,Not given for Yorkshire,11.5,Yy0,2.81,100.28,731.41,-10.0,10.0,25.0,25,Impedance,Yorkshire,Beighton,Primary,
TYNEMOUTH,Tynemouth Central T2,33.0,Tynemouth Central,11.5,Yy6,3.73,82.4,Not given for Northeast,-15.0,4.5,18.75,18.75,Solid / Impedance,Northeast,Tynemouth Central,Primary,
TYNEMOUTH,Longbenton T1,33.0,Longbenton,11.5,Yy6,4.27,63.7,Not given for Northeast,-15.0,4.5,18.75,18.75,Solid / Impedance,Northeast,Longbenton,Primary,
TYNEMOUTH,Gosforth T2,132.0,Gosforth,33.0,Yd1,3.11,77.34,Not given for Northeast,-15.0,6.0,90.0,90,Solid / Impedance,Northeast,Gosforth,BSP,
TYNEMOUTH,Gosforth T1,132.0,Gosforth,33.0,Yd1,3.11,77.56,Not given for Northeast,-15.0,6.0,120.0,120,Solid / Impedance,Northeast,Gosforth,BSP,
TYNEMOUTH,Chirton Grange GT1,132.0,Chirton Grange GT1,33.0,Yd1,1.12,24.74,Not given for Northeast,-20.0,10.0,60.0,60,Solid / Impedance,Northeast,Chirton Grange,BSP,
WEST BOLDON,Sunderland T1 T5,66.0,Sunderland Green,11.5,Dy11,3.31,83.33,Not given for Northeast,-17.16,5.72,24.0,24,Solid / Impedance,Northeast,Sunderland T1 T2,Primary,
WEST BOLDON,Sunderland T1 T5,66.0,Sunderland Yellow,11.5,Dy11,3.31,85.07,Not given for Northeast,-17.16,5.72,30.0,30,Solid / Impedance,Northeast,Sunderland T1 T2,Primary,
WEST BOLDON,Sunderland T8,66.0,Sunderland T8,33.0,Dy11,1.2,22.46,Not given for Northeast,-10.0,10.0,45.0,45,Solid / Impedance,Northeast,Sunderland T5 T6,BSP,
WEST BOLDON,West Southwick T2,66.0,West Southwick,11.5,Dy11,3.0,98.75,Not given for Northeast,-15.0,6.0,32.0,32,Solid / Impedance,Northeast,West Southwick,Primary,
WEST BOLDON,Walker T1,66.0,Walker,11.5,Dy11,4.17,75.08,Not given for Northeast,-17.16,5.72,24.0,24,Solid / Impedance,Northeast,Walker,Primary,
WEST BOLDON,Pallion Trading T2,33.0,Pallion Trading,11.5,Yy6,4.44,82.5,Not given for Northeast,-15.0,6.0,24.0,12,Solid / Impedance,Northeast,Pallion Trading,Primary,
WEST BOLDON,Offerton Green,33.0,Offerton,11.5,Yy6,3.11,77.56,Not given for Northeast,-15.0,6.0,32.0,32,Solid / Impedance,Northeast,Offerton,Primary,
WEST BOLDON,Mount Road T2,33.0,Mount Road,11.5,Yy6,0.63,83.17,Not given for Northeast,-17.16,5.72,24.0,24,Solid / Impedance,Northeast,Mount Road,Primary,
WEST BOLDON,High Barmston T1,66.0,High Barmston,11.5,Dy11,5.01,83.7,Not given for Northeast,-15.0,6.0,18.75,18.75,Solid / Impedance,Northeast,High Barmston,Primary,
WEST BOLDON,Hedworth T2,66.0,Hedworth,11.5,Dy11,3.89,80.2,Not given for Northeast,-15.0,6.0,32.0,NOT KNOWN,Solid / Impedance,Northeast,Hedworth,Primary,
WEST BOLDON,Hebburn West T1,66.0,Hebburn West,11.5,Dy11,3.85,96.2,Not given for Northeast,-15.0,6.0,24.0,NOT KNOWN,Solid / Impedance,Northeast,Hebburn West,Primary,
WEST BOLDON,Hebburn T2,66.0,Hebbur,5.75,Yd11,7.0,127.8,Not given for Northeast,-10.5,3.0,10.0,5,Solid / Impedance,Northeast,Hebburn,Primary,
WEST BOLDON,Hebburn T1,66.0,Hebbur,5.75,Yd11,6.0,122.7,Not given for Northeast,-10.5,3.0,10.0,5,Solid / Impedance,Northeast,Hebburn,Primary,
WEST BOLDON,Harlow Green T1,66.0,Harlow Green,11.5,Dy11,4.51,98.83,Not given for Northeast,-15.0,6.0,24.0,12,Solid / Impedance,Northeast,Harlow Green,Primary,
WEST BOLDON,Carley Hill T2,66.0,Carley Hill,11.5,Dy11,4.79,82.86,Not given for Northeast,-15.0,6.0,18.75,18.75,Solid / Impedance,Northeast,Carley Hill,Primary,
WEST BOLDON,Breamish Street T2,66.0,Breamish Street,11.5,Dy11,2.67,89.5,Not given for Northeast,-15.0,6.0,30.0,30,Solid / Impedance,Northeast,Breamish Street,Primary,
WEST BOLDON,Breamish Street T1,66.0,Breamish Street,11.5,Dy11,2.67,89.5,Not given for Northeast,-15.0,6.0,30.0,30,Solid / Impedance,Northeast,Breamish Street,Primary,
WEST MELTON,Rawmarsh Road 3_4 GT3,132.0,Not given for Yorkshire,11.5,Yd9,3.37,102.27,93.86,-10.0,10.0,30.0,30,Solid,Yorkshire,Rawmarsh Road 3_4,Primary,
WEST MELTON,Rawmarsh Road 1_2 GT2,132.0,Not given for Yorkshire,11.5,Yd9,3.37,103.0,93.89,-10.0,10.0,30.0,30,Solid,Yorkshire,Rawmarsh Road 1_2,Primary,
WEST MELTON,MANSFIELD ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,74.5,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Mansfield Road 2,Primary,
WEST MELTON,WORSBOROUGH PARK T1,66.0,Not given for Yorkshire,11.0,Yy0,6.0,83.3,83.3,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Worsbrough Park,Primary,
WEST MELTON,WOOLLEY T2,66.0,Not given for Yorkshire,11.0,Yy0,6.0,84.9,84.9,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Woolley,Primary,
WEST MELTON,WOOLLEY T1,66.0,Not given for Yorkshire,11.0,Yy0,6.0,85.0,85,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Woolley,Primary,
WEST MELTON,WOODCOCK STREET T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.7,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Woodcock Street,Primary,
WEST MELTON,WOODCOCK STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.7,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Woodcock Street,Primary,
WEST MELTON,WHEATLEY PARK T1,66.0,Not given for Yorkshire,11.0,Yy0,6.0,84.3,84.3,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Wheatley Park,Primary,
WEST MELTON,WEST MELTON GT1,132.0,Not given for Yorkshire,66.0,Yd9,1.1,21.8,19.2,-20.0,10.0,60.0,60,Solid,Yorkshire,West Melton,BSP,
WEST MELTON,WEST END LANE T1,66.0,Not given for Yorkshire,11.0,Yy0,6.0,83.4,83.4,-15.0,5.0,18.75,18.75,Solid,Yorkshire,West End Lane,Primary,
WEST MELTON,WAKEFIELD MONCKTON ROAD GT2,132.0,Not given for Yorkshire,33.0,Yd9,0.75,27.8,24.5,-20.0,10.0,90.0,90,Solid,Yorkshire,Wakefield Monckton Road,BSP,
WEST MELTON,WAKEFIELD MONCKTON ROAD GT1,132.0,Not given for Yorkshire,33.0,Yd9,0.75,27.8,24.5,-20.0,10.0,90.0,90,Solid,Yorkshire,Wakefield Monckton Road,BSP,
WEST MELTON,Templeborough 33/11kV T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.0,66,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Templeborough 33/11kV,Primary,
WEST MELTON,STAIRFOOT T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,71.3,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Stairfoot,Primary,
WEST MELTON,STAINFORTH T2,66.0,Not given for Yorkshire,11.0,Yy0,6.0,80.7,80.7,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Stainforth,Primary,
WEST MELTON,REVILL LANE T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,100.0,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Revill Lane,Primary,
WEST MELTON,REVILL LANE T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,100.0,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Revill Lane,Primary,
WEST MELTON,ORGREAVE T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,99.1,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Orgreave,Primary,
WEST MELTON,KIRK SANDALL T1,66.0,Not given for Yorkshire,11.5,Yy0,4.0,75.2,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Kirk Sandall,Primary,
WEST MELTON,JARRATT STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,4.9,90.57,968.96,-10.0,10.0,30.0,NOT KNOWN,Impedance,Yorkshire,Jarratt Street,Primary,
WEST MELTON,HUNSHELF GT1,132.0,Not given for Yorkshire,66.0,Yd9,0.26,10.07,9.71,-20.0,10.0,60.0,60,Solid,Yorkshire,Hunshelf,BSP,
WEST MELTON,HUNNINGLEY GT2,132.0,Not given for Yorkshire,33.0,Yd9,0.7,27.4,24.1,-20.0,10.0,90.0,90,Solid,Yorkshire,Hunningley,BSP,
WEST MELTON,HOUGHTON MAIN T1,66.0,Not given for Yorkshire,11.0,Yy0,8.0,100.0,100,-15.0,5.0,12.5,NOT KNOWN,Solid,Yorkshire,Houghton Main,Primary,
WEST MELTON,HICKLETON T2,66.0,Not given for Yorkshire,11.0,Yy0,6.0,83.0,83,-15.0,5.0,18.75,NOT KNOWN,Solid,Yorkshire,Hickleton,Primary,
WEST MELTON,Greyfriars Road 3/4 T4,33.0,Not given for Yorkshire,11.0,Yy0,7.53,97.17,583.87,-10.0,10.0,30.0,30,Impedance,Yorkshire,Greyfriars Road 3/4,Primary,
WEST MELTON,Greyfriars Road 3/4 T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,94.1,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Greyfriars Road 3/4,Primary,
WEST MELTON,ECCLESFIELD T2,66.0,Not given for Yorkshire,11.0,Yy0,6.0,81.7,81.7,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Ecclesfield,Primary,
WEST MELTON,DURKAR LOW LANE T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,65.0,65,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Durkar Low Lane,Primary,
WEST MELTON,DENBY DALE ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Denby Dale Road,Primary,
WEST MELTON,DEARNE ROAD T2,66.0,Not given for Yorkshire,11.0,Yy0,5.65,76.5,645.8,-15.0,5.0,24.0,24,Impedance,Yorkshire,Dearne Road,Primary,
WEST MELTON,DARNALL T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.5,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Darnall,Primary,
WEST MELTON,BURTON ROAD T2,33.0,Not given for Yorkshire,11.5,Yy0,7.83,93.41,583.05,-17.0,5.72,30.0,30,Impedance,Yorkshire,Burton Road,Primary,
WEST MELTON,BURTON ROAD T1,33.0,Not given for Yorkshire,11.5,Yy0,7.39,93.63,583.05,-17.0,5.72,30.0,30,Impedance,Yorkshire,Burton Road,Primary,
WEST MELTON,BOC BRINSWORTH T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,66.0,66,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Boc Brinsworth,Primary,
WEST MELTON,Blackburn Meadows 33/11kV T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.6,550,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Blackburn Meadows 33/11kV,Primary,
WEST MELTON,Blackburn Meadows 33/11kV T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,74.2,550,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Blackburn Meadows 33/11kV,Primary,
WEST MELTON,BENTLEY T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.0,500,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Bentley,Primary,
WEST MELTON,Barugh 66/11kV T1,66.0,Not given for Yorkshire,11.5,Yy0,7.08,114.65,421.48,-10.0,10.0,30.0,30,Impedance,Yorkshire,Barugh 66/11kV,Primary,
WEST MELTON,Barugh 132/66kV GT1,132.0,Not given for Yorkshire,66.0,Yd9,0.8,20.2,17.8,-20.0,10.0,75.0,75,Solid,Yorkshire,Barugh 132/66kV,BSP,
WEST MELTON,BALBY T2,66.0,Not given for Yorkshire,11.0,Yy0,6.0,76.3,76.3,-15.0,5.0,18.75,9.375,Solid,Yorkshire,Balby,Primary,
WEST MELTON,ASKERN T1,66.0,Not given for Yorkshire,11.5,Yy0,4.0,100.0,550,-10.0,10.0,23.0,NOT KNOWN,Impedance,Yorkshire,Askern,Primary,
WEST MELTON,ARMTHORPE,66.0,Not given for Yorkshire,11.0,Yy0,6.0,83.4,83.4,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Armthorpe,Primary,
WEST MELTON,ALDHAM T1,66.0,Not given for Yorkshire,11.5,Yd9,2.07,70.68,636.36,-10.0,10.0,25.0,25,Impedance,Yorkshire,Aldham,Primary,
WINCOBANK,WAVERLEY BUSINESS PARK T2,33.0,Not given for Yorkshire,11.5,Yy0,5.69,98.7,483.47,-15.0,5.0,40.0,40,Impedance,Yorkshire,Waverley Business Park,Primary,
WINCOBANK,TINSLEY PARK ROAD T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,76.3,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Tinsley Park Road,Primary,
