GSP,S/S or Busbar Name Node 1,S/S or Busbar Name Node 2,Operating Voltage (kV),Positive Sequence Impedance R % on (100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Susceptance B (% on 100 MVA Base),Rating Information (MVA),Circuit Length (km),Licence Area
Ferrybridge B,COMMONSIDE LANE T2,FEATHERSTONE T2,33.0,1.488,3.087,0.006,25.149377725900095,1.0261707759999998,Yorkshire
Ferrybridge B,FENTON LANE T1,TADCASTER T1,33.0,13.3,27.356,0.216,29.150415091384204,10.43365332,Yorkshire
Ferrybridge B,FENTONLANE-SHERBURN-TEE,BRAM-FENT-GASC-TEE,33.0,1.456,3.13,0.0,28.635996001536245,1.001,Yorkshire
Ferrybridge A,FERRYBRIDGE B,FRYSTON LANE 2,132.0,0.028,0.094,1.200753,186.334,1.2903,Yorkshire
Ferrybridge A,FERRYBRIDGE B,OSBALDWICK (NORTHERN POWERGRID NORTHEAST),132.0,2.8,6.06,1.794,125.74688862950049,32.686,Yorkshire
Ferrybridge B,FRYSTON LANE 2,FEATHERSTONE T2,132.0,0.314,1.727,0.570526,186,7.4207,Yorkshire
Drax,GASCOIGNE WOOD,BRAM-FENT-GASC-TEE,33.0,6.169,13.401,0.0,28.578838324886473,4.62,Yorkshire
Skelton Grange,HILLCREST T2,ROMAN AVENUE T2,33.0,3.696,3.278,1.258,25.149377725900095,3.314905762,Yorkshire
Ferrybridge B,HOOK MOOR WINDFARM,SHERBURN T1,33.0,7.842,16.844,0.498516,26,9.782,Yorkshire
Ferrybridge B,KIRKHAW LANE T2,BEAL T2,33.0,6.399,13.64,0.0,26.4068466121951,5.3933125,Yorkshire
Ferrybridge B,NORMANTON T1,FEATHERSTONE T1,33.0,5.599,11.867,0.006,23.663278133006,3.975,Yorkshire
Ferrybridge B,PRINCE OF WALES T2,FEATHERSTONE T2,33.0,7.642,13.794,0.0,26.292531258895558,6.261,Yorkshire
Ferrybridge B,TADCASTER T2,STILLINGFLEET,33.0,18.788,44.39,0.197,28.578838324886473,13.0692207,Yorkshire
Ferrybridge B,TOULSTON HALL LSI,AUDBY LANE T2,33.0,12.449,21.983,0.0,26.464004288844876,7.614,Yorkshire
Ferrybridge B,WEELAND ROAD T2,KIRKHAW LANE T2,33.0,3.788,6.539,0.333,21.719917126913717,3.646692383,Yorkshire
Kirkstall B,ABBEY ROAD T1,RING ROAD HORSFORTH T2,33.0,0.900951564,1.663274527,0.0,26.464004288844876,1.5759998780000002,Yorkshire
Kirkstall B,BEER-MITS-WAKN-TEE1,MIDDLETON TOWN STREET T1,33.0,1.426,2.945,0.0,28.635996001536245,1.851,Yorkshire
Kirkstall B,BEER-MITS-WAKN-TEE2,BEESTON ROYDS GT3,33.0,3.802,8.312,0.0,28.635996001536245,4.457400391,Yorkshire
Kirkstall B,BEER-MITS-WAKN-TEE2,MIDDLETON TOWN STREET T2,33.0,1.079,2.137,0.0,28.635996001536245,1.59,Yorkshire
Kirkstall B,BEESTON ROYDS GT2,KIRKSTALL C GT1,33.0,3.95937109,4.694860458,0.417220831,27.435684791891013,4.787900391,Yorkshire
Kirkstall B,BEESTON ROYDS T6,BEESTON ROYDS GT1,33.0,0.0504792,0.11280331,0.0,44.297199403574034,0.1106999969,Yorkshire
Kirkstall B,BURLEY STREET T1,KIRKSTALL C GT2,33.0,0.829,2.09,0.0,44.297199403574034,2.210149902,Yorkshire
Kirkstall B,FARNLEY CRESCENT T1,KIRKSTALL C GT1,33.0,2.681,3.65,0.0,21.719917126913717,2.434929199,Yorkshire
Kirkstall B,GILDERSOME T1,BEESTON ROYDS GT1,33.0,5.963,10.223,0.0,28.29304994163761,5.242500487999999,Yorkshire
Kirkstall B,HEDLEY CHASE T1,BEESTON ROYDS T6,33.0,3.599287033,3.901620388,0.0,21.09118268376622,4.2862807620000005,Yorkshire
Kirkstall B,KIRKSTALL B SGT2,BEESTON ROYDS GT1,132.0,0.231,0.273,18.676,112.02904623355498,4.454990234,Yorkshire
Kirkstall B,KIRKSTALL B SGT2,BEESTON ROYDS GT3,132.0,0.173,0.384,3.674,148.60995928940966,4.795,Yorkshire
Kirkstall B,KIRKSTALL C GT1,FIR TREE LANE T2,33.0,4.51,8.402,0.0,29.49336115128284,7.969600098,Yorkshire
Kirkstall B,MORLEY T2,BEESTON ROYDS T7,33.0,5.990602493,8.964587212,0.0,24.577800959402367,5.510900391,Yorkshire
Kirkstall B,THORPE LANE NO1 LSI,WAKEFIELDNORTH-TINGLEYNO1LSI-THORPELANENO1LSI-TEE,33.0,0.284,0.59,0.0,28.635996001536245,0.195,Yorkshire
Kirkstall B,TINGLEY NO1 LSI,TINGLEY T1,33.0,0.912,1.161,0.0,30.86514539087739,1.019,Yorkshire
Kirkstall B,TINGLEY NO2 LSI,TINGLEY T2,33.0,0.87172997,1.109386086,0.0,30.86514539087739,0.974,Yorkshire
Kirkstall B,UPPER BASINGHALL STREET T2,KIRKSTALL C GT5,33.0,3.579,3.124,0.0,20.576763593918262,3.8827998050000003,Yorkshire
Kirkstall B,WAKEFIELDNORTH-TINGLEYNO1LSI-THORPELANENO1LSI-TEE,TINGLEY NO1 LSI,33.0,0.013424999,0.017085001,0.0,30.86514539087739,0.015,Yorkshire
Kirkstall B,WHINGATE T2,KIRKSTALL C GT1,33.0,1.438,1.698,0.0,28.86462670813534,1.400280884,Yorkshire
Skelton Grange,ALLERTON HILL T1,LEEDS EAST T3,33.0,4.053999901,3.588999987,1.378999949,26.464004288844876,4.95854248,Yorkshire
Kirkstall B,BEESTON ROYDS GT3,WHITEHALL ROAD 2/3 T3,33.0,1.245,3.495,0.0,47.89813303250973,3.889830078,Yorkshire
Skelton Grange,BIRKBY T1,ST ANDREWS ROAD GSP T1,33.0,1.920425177,1.762539387,0.0,20.576763593918262,1.899599976,Yorkshire
Skelton Grange,BIRKBY T2,ST ANDREWS ROAD GSP T2,33.0,1.83084178,1.740084648,0.0,20.576763593918262,1.8553170170000002,Yorkshire
Skelton Grange,FOLLY HALL T1,ST ANDREWS ROAD GSP T1,33.0,1.735,1.62,0.636,26.464004288844876,2.273767578,Yorkshire
Skelton Grange,FOLLY HALL T2,ST ANDREWS ROAD GSP T2,33.0,1.841,1.712,0.66,28.86462670813534,1.783730469,Yorkshire
Skelton Grange,HECK-SARO-WAKB-TEE1,HECKMONDWIKE T1,132.0,0.3,0.849,2.576,130.54813346808143,5.640964844,Yorkshire
