transformer_index,transformer_group,candidate_name,candidate_key,transformer_substation,primary_voltage_kv,secondary_voltage_kv,rating_mva,site_asset_number,site_name
202,NORTON,North Tees T1,NORTH T1 TEES,North Tees,66.0,11.5,30.0,SITE-00244017,NORTH TEES
203,NORTON,North Tees GT2,GT2 NORTH TEES,North Tees,132.0,66.0,150.0,SITE-00244017,NORTH TEES
204,NORTON,North Tees GT1,GT1 NORTH TEES,North Tees,132.0,66.0,150.0,SITE-00244017,NORTH TEES
205,NORTON,Malleable T2,MALLEABLE T2,Malleable,66.0,11.5,32.0,SITE-00229325,MALLEABLE
206,NORTON,Malleable T1,MALLEABLE T1,Malleable,66.0,11.5,32.0,SITE-00229325,MALLEABLE
207,NORTON,Leeming Bar GT1,BAR GT1 LEEMING,Leeming Bar,132.0,33.0,90.0,SITE-00233059,LEEMING BAR
208,NORTON,Faraday Street T1,FARADAY STREET T1,Faraday Street,66.0,11.5,18.75,SITE-00232015,FARADAY STREET
209,NORTON,Darlington West T2,DARLINGTON T2 WEST,Darlington West,33.0,11.5,18.75,SITE-00233808,DARLINGTON
210,NORTON,Darlington T2,DARLINGTON T2,Darlington 33/11kV,33.0,11.5,18.75,SITE-00233808,DARLINGTON
211,NORTON,Darlington North GT2,DARLINGTON GT2 NORTH,Darlington North,132.0,33.0,90.0,SITE-00233808,DARLINGTON
212,NORTON,Darlington Central T1,CENTRAL DARLINGTON T1,Darlington Central,33.0,11.5,32.0,SITE-00233809,DARLINGTON CENTRAL
213,NORTON,Darlington Central GT2,CENTRAL DARLINGTON GT2,Darlington Central,132.0,33.0,60.0,SITE-00233809,DARLINGTON CENTRAL
214,NORTON,Cowton,COWTON,Cowton,33.0,11.5,7.5,SITE-00233061,COWTON
215,NORTON,Bowesfield T2,BOWESFIELD T2,Bowesfield,33.0,11.5,32.0,SITE-00243882,BOWESFIELD
216,NORTON,Bowesfield T1,BOWESFIELD T1,Bowesfield,66.0,11.5,32.0,SITE-00243882,BOWESFIELD
217,NORTON,Billingham Marsh House T2,BILLINGHAM HOUSE MARSH T2,Billingham Marsh House,66.0,11.5,24.0,SITE-00229041,BILLINGHAM MARSH HOUSE
218,NORTON,Billingham Marsh House T1,BILLINGHAM HOUSE MARSH T1,Billingham Marsh House,66.0,11.5,24.0,SITE-00229041,BILLINGHAM MARSH HOUSE
219,NORTON,Aycliffe Industrial T2,AYCLIFFE INDUSTRIAL T2,Aycliffe Industrial,33.0,11.5,24.0,SITE-00229534,AYCLIFFE INDUSTRIAL
220,NORTON,Aycliffe Industrial T1,AYCLIFFE INDUSTRIAL T1,Aycliffe Industrial,33.0,11.5,24.0,SITE-00229534,AYCLIFFE INDUSTRIAL
221,NORTON,Aycliffe Forrest T2,AYCLIFFE FORREST T2,Aycliffe Forrest,33.0,11.5,30.0,SITE-00308528,AYCLIFFE FORREST
222,NORTON LEES,Snaithing Park Road,PARK ROAD SNAITHING,Snaithing Park Road,33.0,11.0,24.0,SITE-00266957,SNAITHING PARK ROAD 3488
223,NORTON LEES,Snaithing Park Road,PARK ROAD SNAITHING,Snaithing Park Road,33.0,11.0,24.0,SITE-00266957,SNAITHING PARK ROAD 3488
224,NORTON LEES,Saxon Road,ROAD SAXON,Saxon Road,33.0,11.0,24.0,SITE-00267021,SAXON ROAD 583
225,NORTON LEES,Saxon Road,ROAD SAXON,Saxon Road,33.0,11.0,24.0,SITE-00267021,SAXON ROAD 583
226,NORTON LEES,Norfolk Park,NORFOLK PARK,Norfolk Park,33.0,11.0,24.0,SITE-00267097,NORFOLK PARK 3338
227,NORTON LEES,Marmion Road,MARMION ROAD,Marmion Road,33.0,11.0,24.0,SITE-00272415,MARMION ROAD 36
228,NORTON LEES,Gleadless Valley,GLEADLESS VALLEY,Gleadless Valley,33.0,11.0,24.0,SITE-00266668,GLEADLESS VALLEY 2161
229,OSBALDWICK,Whitby West T2,T2 WEST WHITBY,Whitby West T2,66.0,11.5,24.0,SITE-00233868,WHITBY
230,OSBALDWICK,Whitby T1,T1 WHITBY,Whitby T1,33.0,11.5,24.0,SITE-00233868,WHITBY
231,OSBALDWICK,York University T2,T2 UNIVERSITY YORK,York University,33.0,11.5,24.0,SITE-00232840,YORK UNIVERSITY
232,OSBALDWICK,Thornton Dale T1,DALE T1 THORNTON,Thornton Dale,66.0,11.5,24.0,SITE-00233867,THORNTON DALE
